File,Link
aws-properties-sagemaker-domain-jupyterserverappsettings.md, https://drive.google.com/file/d/1cXWTDgR9FAOrHtuTH_bcjvGYF02V-gKD/view?usp=drive_link
aws-properties-sagemaker-domain-kernelgatewayappsettings.md, https://drive.google.com/file/d/1e8zWI4rCAgu-ND7tsl0OnEL6hHuRWE_k/view?usp=drive_link
aws-properties-sagemaker-domain-resourcespec.md, https://drive.google.com/file/d/1EIqB6SiY7eyrvvUdXJnyf4FuEqYGLKhT/view?usp=drive_link
aws-properties-sagemaker-domain-rsessionappsettings.md, https://drive.google.com/file/d/1_mQtxhSyOKm_p8TH0LLWIbex5U3hesvO/view?usp=drive_link
aws-properties-sagemaker-domain-rstudioserverproappsettings.md, https://drive.google.com/file/d/1MWgt1xYAL0JIGA9wfBUygPP3m8o1LJIW/view?usp=drive_link
aws-properties-sagemaker-domain-rstudioserverprodomainsettings.md, https://drive.google.com/file/d/1uB-RmHEiIEXeg7J44-yys-k08rKW7DIt/view?usp=drive_link
aws-properties-sagemaker-domain-sharingsettings.md, https://drive.google.com/file/d/1aod1Z8h-7OzmsVUt8_Uece-1Jv_26aex/view?usp=drive_link
aws-properties-sagemaker-domain-usersettings.md, https://drive.google.com/file/d/1OeLImvOZ6VDQBwMHbaUy0cFyoBmPkyx8/view?usp=drive_link
aws-properties-sagemaker-endpoint-alarm.md, https://drive.google.com/file/d/1a1uaHvtZenbGJZjCK3gZZO_89fRGY1Mp/view?usp=drive_link
aws-properties-sagemaker-endpoint-autorollbackconfig.md, https://drive.google.com/file/d/19twDlunQKh-Vf5AbEc9HgRWKO6tjUCFz/view?usp=drive_link
aws-properties-sagemaker-endpoint-bluegreenupdatepolicy.md, https://drive.google.com/file/d/1iHjuZyoiilF1ubvTwhpFw0fwI30lntz7/view?usp=drive_link
aws-properties-sagemaker-endpoint-capacitysize.md, https://drive.google.com/file/d/1niSyCJtAvusO9Dx-zmklFDXI2Iwlkjrz/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-asyncinferenceclientconfig.md, https://drive.google.com/file/d/1qPRliRfbJ47AxeaeiICJYyYd7jlpfr80/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-asyncinferenceconfig.md, https://drive.google.com/file/d/1IBEPwSj-iFF1CA2yqkT6ProKctmbVX8e/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-asyncinferencenotificationconfig.md, https://drive.google.com/file/d/1WRsIS_YYCYuRJtJPKP8H3IdxjXE5hunj/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-asyncinferenceoutputconfig.md, https://drive.google.com/file/d/1MBLRDOQpD1jERqWlXZ67K2TvObhzZpnq/view?usp=drive_link
aws-properties-sagemaker-endpointconfig-captureoption.md, https://drive.google.com/file/d/10O7nXiJjACf_3Lm_hFNlCKTNGnL1CwiZ/view?usp=drive_link
